"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00516099936354478,0.00869941772649106,0,0,0,0,0.000277280347976187,0.00124562373139732,0.00175895019591366,0,0,0,0.00751102684388967,0,0.00261083066512482,0,0,0,0,0,0,0.000707290342286078,0.00332293048307084,0.00546833129890834,0.000426815467794415,0,0,0,0,0.000216779744532164,0,0.00324470447818724,0,0,0,0.00185939699858846,0,0,0.00526513124361097,0.000447841666486098,0.00118323669451592,0,0,0,0.00523504120407169,0.00726974591530088,0,0,0,0.00226898495203822,0,0,0,0,0.00291275024185723,0,0.00201006879418344,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188153227350894,0,0,0,0,0.00270378683384038,0.00684019680617634,0,0,0,0,0,0,0,0.00339933154797455,0,0,0.00661255844941889,0.00102142528217355,0.000691010273745528,0.00368593669613359,0.00243877883612189,0.00106747102904784,0,0,0,0.00152270629141325,0.000663693057038199,0,0,0,0,0,0,0,0,0,0,0,0.00386178299717662,0,0,0,0,0,0,0.00153102349484689,0.00729742974327042,0.0121277167609514,0.00251695746151949,0,0,0,0.00158839733434243,0,0.0070036272531334,0.000535436995151934,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00691784196185767,0,0,0.00291220494448716,0.00117928991541492,0.000881293674613579,0,0,0,0,0,0.000856056731547228,0.00408850087531823,0,0,0.000555221644543104,0,0.00219277719731022,0.00150970037199477,0.00440869222344319,0,0.00242330309345805,0,0.0046798039429618,0.00385973879829576,0.00253320157060712,0.00139867629547724,0.00446689404457696,0,0.000826423582399094,0.00231461398623852,0,0,0,0,0,0,0,0,0,0.00420734338947098,0,0,0.00104634585060636,0,0,0,0.00568802528175149,0,0,0,0,0,0.00173536166123248,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000656130072255721,0,0,0.00475169442400268,0,0,0,0,0.000761157505602566,0,0,0,0,0,0,0,0,0.00497438296930591,0.00533800442236204,0.00441902607913914,0,0,0,0,0.00401352081584493,0,0,0.00159358885550445,0,0,0.0042843134608406,0,0,0,0,0,0,0,0.0059903900207791,1.42258264958666e-05,0.00406846951863665,0,0,0.00478756683874873,0,0.000954250989276937,0,0,0,0,0.000544272822664686,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00517181333724283,0.00833434022314068,0.00706137332538642,0,0,0,0,0,0,0,0,0,0,0.00888698822963313,0,0,0.00380248177144754,0,0,0,0,0.000967293236332392,0,0,0,0,0,0.00241991102285022,0,0,0.00602184330997622,0.000537822172618372,0,0,0,0.0026017849792209,0.00558119881852727,0,0.00609427358585867,0,0,0.00103116585390704,0,0,0,0,0,0.0018796203947042,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00466498873966104,0,0,0.00163389024608345,0.00326759510748256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000797292550581109,0.00116938263096213,0.00299397022927604,0,0,0,0,0,0,0.0007619906396107,0,0,0,0,0,0,0.00131397618965337,0,0.00623746420961848,0,0,0,0,0,0.006090367,0,0,0,0.00303745141414133,0,0.00010908311177254,0,0,0,0,0,0,0.00588896278263111,0,0,0,0,0,0,0
"17",0,0,0.00195822123879227,0,0,0,0,0.00327043917631247,0.00230290248168944,0,0.00516099936354478,0,0,0,0,0.00466498873966104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0.00869941772649106,0.00188153227350894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0,0.00444488442632533,0.00639473757367467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0.00543131116596627,0.00103706858795029,0,0,0,0,0,0,0.00163389024608345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
